ObecnÌ kÛd,N·zev obce,RegistrovanÌ voliËi,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
585858,TlumaËov,1 973,1 137,1 130,"6,99 %","0,35 %","0,08 %","5,75 %","0,08 %","4,77 %","6,72 %","1,50 %","0,79 %","0,97 %","0,26 %","0,08 %","6,63 %","0,08 %","1,23 %","35,30 %","0,17 %","0,08 %","6,90 %","0,88 %","0,35 %","0,00 %","18,76 %","1,15 %"
585866,Trnava,931,565,561,"7,48 %","0,35 %","0,00 %","6,06 %","0,00 %","8,37 %","8,73 %","0,71 %","0,53 %","1,24 %","0,00 %","0,17 %","4,09 %","0,00 %","1,06 %","28,87 %","0,00 %","0,17 %","17,82 %","0,53 %","0,00 %","0,00 %","13,19 %","0,53 %"
585874,Ublo,235,142,141,"14,18 %","0,70 %","0,00 %","9,92 %","0,70 %","4,96 %","9,92 %","1,41 %","0,70 %","0,70 %","0,00 %","0,00 %","7,09 %","0,00 %","2,83 %","34,04 %","0,00 %","0,00 %","4,96 %","2,12 %","0,00 %","0,00 %","5,67 %","0,00 %"
585882,⁄jezd,980,566,561,"4,27 %","0,00 %","0,17 %","8,91 %","0,17 %","14,43 %","7,13 %","1,24 %","0,53 %","1,42 %","0,00 %","0,35 %","10,16 %","0,00 %","1,60 %","21,21 %","0,00 %","0,53 %","14,43 %","0,71 %","0,00 %","0,89 %","11,05 %","0,71 %"
585891,ValaöskÈ Klobouky,4 050,2 496,2 481,"9,47 %","0,16 %","0,00 %","6,12 %","0,04 %","9,06 %","6,28 %","0,88 %","0,48 %","1,73 %","0,16 %","0,16 %","9,02 %","0,00 %","2,21 %","26,07 %","0,08 %","0,00 %","17,97 %","0,24 %","0,00 %","0,00 %","9,43 %","0,36 %"
585912,Velk˝ O¯echov,607,437,435,"10,34 %","0,22 %","0,00 %","4,13 %","0,00 %","3,44 %","5,97 %","0,22 %","0,00 %","0,91 %","0,00 %","0,22 %","4,82 %","0,00 %","1,83 %","34,25 %","0,00 %","0,00 %","12,64 %","0,45 %","0,00 %","0,45 %","18,85 %","1,14 %"
585921,Vesel·,651,445,442,"11,08 %","0,22 %","0,00 %","9,27 %","0,00 %","6,78 %","3,61 %","0,67 %","0,45 %","1,58 %","0,45 %","0,00 %","8,59 %","0,90 %","3,16 %","28,28 %","0,00 %","0,00 %","9,04 %","0,67 %","0,22 %","0,22 %","14,25 %","0,45 %"
585939,Vizovice,3 872,2 402,2 381,"12,30 %","0,62 %","0,08 %","5,41 %","0,00 %","9,07 %","4,74 %","1,42 %","0,37 %","1,04 %","0,16 %","0,12 %","10,49 %","0,12 %","4,03 %","25,66 %","0,08 %","0,12 %","10,58 %","0,37 %","0,08 %","0,08 %","11,46 %","1,46 %"
586994,Vlachova Lhota,189,99,98,"17,34 %","0,00 %","0,00 %","9,18 %","0,00 %","18,36 %","6,12 %","0,00 %","1,02 %","1,02 %","0,00 %","0,00 %","5,10 %","0,00 %","1,02 %","19,38 %","0,00 %","0,00 %","12,24 %","0,00 %","1,02 %","0,00 %","8,16 %","0,00 %"
585955,Vlachovice,1 216,768,761,"4,46 %","0,00 %","0,00 %","6,30 %","0,13 %","14,45 %","7,22 %","0,78 %","0,91 %","1,05 %","0,00 %","0,13 %","5,12 %","0,13 %","2,23 %","30,74 %","0,00 %","0,13 %","17,08 %","0,39 %","0,00 %","0,13 %","8,14 %","0,39 %"
585963,VlËkov·,328,207,206,"8,73 %","1,45 %","0,00 %","7,76 %","0,00 %","5,33 %","5,82 %","0,00 %","2,91 %","0,48 %","0,00 %","0,00 %","7,76 %","0,00 %","2,91 %","31,06 %","0,00 %","0,48 %","8,25 %","0,48 %","0,48 %","0,48 %","15,04 %","0,48 %"
585971,Vöemina,915,602,601,"6,48 %","0,00 %","0,16 %","7,15 %","0,00 %","2,99 %","3,99 %","0,83 %","0,49 %","1,16 %","0,00 %","0,49 %","5,15 %","0,00 %","1,83 %","34,60 %","0,00 %","0,00 %","20,29 %","0,49 %","0,16 %","0,00 %","11,64 %","1,99 %"
585980,VysokÈ Pole,658,366,365,"1,64 %","0,00 %","0,00 %","8,76 %","0,00 %","16,71 %","4,10 %","1,36 %","0,54 %","0,82 %","0,27 %","0,00 %","6,57 %","0,00 %","1,64 %","28,21 %","0,00 %","0,00 %","19,45 %","0,00 %","0,27 %","0,00 %","9,58 %","0,00 %"
585998,Z·dve¯ice-Rakov·,1 149,706,699,"10,72 %","0,14 %","0,28 %","7,86 %","0,14 %","8,29 %","6,29 %","1,28 %","0,42 %","1,28 %","0,00 %","0,14 %","8,58 %","0,00 %","3,29 %","31,47 %","0,00 %","0,00 %","3,71 %","1,00 %","0,28 %","0,14 %","13,01 %","1,57 %"
585068,ZlÌn,61 206,39 202,38 975,"11,38 %","0,35 %","0,10 %","6,18 %","0,07 %","7,85 %","4,69 %","1,36 %","0,49 %","2,05 %","0,10 %","0,11 %","9,73 %","0,07 %","4,33 %","29,98 %","0,07 %","0,16 %","7,62 %","0,92 %","0,17 %","0,06 %","11,29 %","0,75 %"
500011,éelechovice nad D¯evnicÌ,1 598,1 041,1 032,"10,94 %","0,00 %","0,09 %","8,13 %","0,19 %","8,52 %","3,87 %","0,77 %","0,58 %","1,55 %","0,09 %","0,09 %","9,49 %","0,09 %","3,68 %","25,58 %","0,00 %","0,19 %","10,65 %","0,67 %","0,00 %","0,00 %","13,95 %","0,77 %"
586013,élutava,916,624,621,"13,84 %","0,80 %","0,00 %","4,83 %","0,00 %","4,02 %","6,44 %","0,64 %","0,48 %","2,73 %","0,00 %","0,00 %","9,33 %","0,00 %","1,61 %","33,97 %","0,16 %","0,00 %","6,76 %","3,05 %","0,16 %","0,16 %","10,14 %","0,80 %"
